Trajectories
100
,,ValidationHealth004:Rdeltoid,,,ValidationHealth004:RMidArm,,,ValidationHealth004:RElbRadial,,,ValidationHealth004:RElbUlna,,,ValidationHealth004:RMidForeArm,,,ValidationHealth004:RWrist1,,,ValidationHealth004:RWrist2,,,ValidationHealth004:RFingerJoint,,,ValidationHealth004:LDeltoid,,,ValidationHealth004:LMidArm,,,ValidationHealth004:LElbRadial,,,ValidationHealth004:LElbUlna,,,ValidationHealth004:LMidForearm,,,ValidationHealth004:Lwrist1,,,ValidationHealth004:LWrist2,,,ValidationHealth004:LFingerJoint,,,ValidationHealth004:C7,,,ValidationHealth004:Neck,,,ValidationHealth004:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,322.859192,215.117630,1131.886963,307.142365,318.534424,940.335388,401.414246,311.210052,806.278809,327.673370,385.209717,820.354309,242.444733,279.821320,793.578613,213.600067,165.340103,729.488708,212.342987,138.250580,806.195190,181.124924,56.636292,765.588135,298.488373,-171.842773,1122.421509,277.237000,-255.270630,921.982910,287.324036,-217.801422,760.575378,269.994629,-293.040131,813.198547,143.645157,-226.636871,819.630066,25.972260,-269.604126,765.700623,23.212591,-190.285599,785.679749,-60.933994,-208.578506,803.253174,234.491501,14.872648,1118.348511,,,,218.278809,32.450352,991.003418
2,0,322.837006,215.018661,1131.924072,307.147980,318.465637,940.419434,401.372589,311.275452,806.379883,327.641815,385.250122,820.470886,242.427887,279.844574,793.663757,213.623367,165.360199,729.500244,212.354919,138.290741,806.210571,181.154755,56.678032,765.586975,298.509857,-171.889374,1122.355835,277.287201,-255.295273,921.895874,287.353363,-217.797424,760.504517,270.016571,-293.049713,813.114624,143.668640,-226.640182,819.590881,26.007423,-270.308167,766.253784,23.229162,-190.291931,785.667664,-60.931110,-208.577850,803.245544,234.488647,14.819931,1118.334106,,,,218.266632,32.404156,990.995605
3,0,322.845123,214.948364,1131.975464,308.209167,316.185181,939.923828,401.306519,311.328613,806.457153,327.564636,385.290253,820.590820,242.378464,279.905426,793.783813,213.611908,165.397049,729.562805,212.375916,138.309387,806.259216,181.198120,56.667374,765.602417,298.539948,-171.967560,1122.295898,277.331329,-255.338226,921.831116,287.334991,-217.791870,760.446289,270.039398,-293.058472,813.027466,143.694916,-226.664536,819.550781,25.987350,-269.614258,765.659485,23.238510,-190.297577,785.660583,-60.915146,-208.593811,803.251709,234.486816,14.828788,1118.326782,,,,218.117493,32.345600,991.002930
4,0,322.831543,214.866135,1132.010498,308.157013,316.192322,940.018799,401.258362,311.391907,806.544617,327.485229,385.311462,820.710022,242.354401,279.881287,793.864563,213.619705,165.432129,729.615356,212.370422,138.313370,806.310974,181.202484,56.676701,765.636108,298.569702,-172.027008,1122.244019,277.350433,-255.373093,921.763062,287.343018,-217.794144,760.380188,270.056061,-293.076385,812.960754,143.975952,-227.351883,819.583679,25.990738,-269.627075,765.645020,23.249990,-190.314438,785.659180,-60.911259,-208.610214,803.256287,234.492172,14.761662,1118.313354,,,,217.756821,32.225948,991.040527
5,0,322.812836,214.768753,1132.027954,308.086945,316.199890,940.117798,401.193298,311.411774,806.590271,327.411560,385.333771,820.801086,242.305359,279.860077,793.959656,213.582932,165.445236,729.681519,212.353851,138.295013,806.354065,181.196030,56.678619,765.679810,298.569885,-172.101563,1122.225830,277.338989,-255.412811,921.713318,287.374207,-217.831543,760.360779,270.049011,-293.101868,812.901794,143.983261,-227.366028,819.560913,25.986694,-269.641113,765.638123,23.258657,-190.356339,785.652527,-60.907108,-208.622589,803.272583,234.515533,14.613607,1118.299316,,,,217.998230,32.264206,991.033569
6,0,322.823090,214.694611,1132.065063,308.000336,316.225861,940.195496,401.122620,311.453430,806.644836,327.331696,385.349670,820.890869,242.249329,279.835175,794.022766,213.536209,165.458435,729.738647,212.346680,138.276917,806.388123,181.204269,56.691818,765.722717,298.567871,-172.177841,1122.194824,277.323700,-255.433319,921.662842,287.377045,-217.845413,760.330444,270.043854,-293.130127,812.864441,143.988266,-227.401566,819.532776,26.033033,-270.147614,766.074646,23.247295,-190.373718,785.648499,-60.916683,-208.626495,803.270325,234.517807,14.542389,1118.284668,,,,217.608704,32.180080,991.094788
7,0,322.840332,214.646622,1132.067383,307.938263,316.162689,940.235291,401.050934,311.475403,806.698669,327.236267,385.337799,820.962036,242.182281,279.763733,794.067200,213.484436,165.467789,729.784424,212.319366,138.243759,806.431335,181.169937,56.713577,765.750061,298.558014,-172.226273,1122.163818,277.286102,-255.456360,921.613708,287.356049,-217.865173,760.262695,270.034149,-293.165527,812.827637,143.750046,-226.806183,819.445068,25.982483,-269.656525,765.623535,23.256531,-190.386948,785.623779,-60.909130,-208.632584,803.269775,234.480118,14.525624,1118.269897,,,,218.400116,32.281616,990.965759
8,0,322.843964,214.539597,1132.073364,307.900696,316.117096,940.283447,400.977753,311.487976,806.733887,327.144348,385.316162,820.999390,242.110641,279.746826,794.105591,213.423141,165.460983,729.827271,212.289017,138.216263,806.455566,181.162308,56.696270,765.778748,298.546112,-172.284775,1122.132690,277.244690,-255.466309,921.567322,287.352448,-217.891373,760.220337,270.014404,-293.196167,812.799316,143.744003,-226.842438,819.431946,25.979996,-269.657257,765.618652,23.255392,-190.403366,785.606812,-60.914650,-208.631439,803.268311,234.482529,14.447375,1118.263550,,,,218.437729,32.228550,990.941223
9,0,322.832428,214.471680,1132.050415,307.840088,316.029419,940.300415,400.908600,311.491608,806.730835,327.046295,385.293243,821.031921,242.047241,279.710358,794.159790,213.376175,165.427704,729.867249,212.277237,138.134674,806.487305,181.158005,56.674229,765.807495,298.521698,-172.369446,1122.116089,277.200806,-255.503387,921.534241,287.359650,-217.923004,760.198425,269.997437,-293.236969,812.769836,143.750183,-226.853180,819.396362,25.975166,-269.672516,765.618835,23.248026,-190.421768,785.581543,-60.915356,-208.631119,803.264099,234.485489,14.360128,1118.247803,,,,218.462936,32.214241,990.916260
