Trajectories
100
,,ValidationHealthy008:Rdeltoid,,,ValidationHealthy008:RMidArm,,,ValidationHealthy008:RElbRadial,,,ValidationHealthy008:RElbUlna,,,ValidationHealthy008:RMidForeArm,,,ValidationHealthy008:RWrist1,,,ValidationHealthy008:RWrist2,,,ValidationHealthy008:RFingerJoint,,,ValidationHealthy008:LDeltoid,,,ValidationHealthy008:LMidArm,,,ValidationHealthy008:LElbRadial,,,ValidationHealthy008:LElbUlna,,,ValidationHealthy008:LMidForearm,,,ValidationHealthy008:Lwrist1,,,ValidationHealthy008:LWrist2,,,ValidationHealthy008:LFingerJoint,,,ValidationHealthy008:C7,,,ValidationHealthy008:Neck,,,ValidationHealthy008:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,212.363373,190.702454,1090.719971,192.193329,286.381165,927.209595,266.344055,293.722473,808.022034,194.928162,330.680725,834.568359,133.547028,240.150955,806.301270,103.389648,146.491714,742.129089,112.870796,133.235092,806.501587,86.618057,61.916481,774.360168,211.962051,-133.324478,1091.354614,176.751495,-220.667114,889.252991,182.387497,-181.757187,762.914978,169.110870,-244.402344,790.630310,68.182640,-247.635391,799.769104,-37.600132,-253.704453,771.877197,-41.859818,-191.457199,786.081238,-120.396416,-206.304367,782.498230,296.512360,26.186871,1134.549805,167.666321,17.129721,1099.434814,133.267059,20.659475,952.439392
2,0,212.386368,190.712402,1090.728516,192.157425,286.303558,927.190186,266.378143,293.717346,808.035950,194.949982,330.696350,834.580322,133.566681,240.176071,806.308838,103.404335,146.504913,742.126221,112.872269,133.243729,806.507019,86.632599,61.935749,774.363098,211.953674,-133.297684,1091.362183,176.742157,-220.664520,889.273926,182.398621,-181.782730,762.931946,169.108902,-244.420029,790.656494,68.176353,-247.635132,799.788208,-37.611893,-253.701004,771.869080,-41.866650,-191.452927,786.077637,-120.398003,-206.314819,782.485779,296.452759,26.254435,1134.497925,167.658508,17.135160,1099.447754,133.284882,20.686289,952.444275
3,0,212.439377,190.726257,1090.713989,192.153259,286.267365,927.189148,266.375702,293.743103,808.017273,194.966248,330.720154,834.595215,133.590302,240.184509,806.295593,103.425964,146.508682,742.116028,112.895851,133.250916,806.504700,86.634354,61.958313,774.365662,211.931961,-133.281677,1091.371948,176.728806,-220.663513,889.290283,182.406219,-181.811707,762.955322,169.105331,-244.437378,790.675293,68.166611,-247.637131,799.788757,-37.617786,-253.705261,771.867493,-41.856087,-191.460159,786.079773,-120.394386,-206.310089,782.475464,296.627747,26.127430,1134.721191,167.641556,17.168850,1099.463745,133.294113,20.698589,952.461548
4,0,212.453629,190.752213,1090.705566,192.158066,286.277008,927.174622,266.421967,293.734711,808.023315,194.992813,330.703064,834.570801,133.603790,240.199539,806.294250,103.430405,146.522507,742.118469,112.891121,133.261581,806.497314,86.634537,61.975876,774.359924,211.911835,-133.255920,1091.359131,176.709930,-220.652298,889.291626,182.389267,-181.792175,762.924500,169.095398,-244.428162,790.673218,68.156593,-247.637390,799.788391,-37.628323,-253.702103,771.859802,-41.861149,-191.464478,786.073608,-120.406609,-206.304626,782.473633,296.619049,26.132027,1134.626221,167.636536,17.187977,1099.471680,133.294540,20.722424,952.450684
5,0,212.458145,190.751144,1090.696045,192.257874,286.431030,927.197144,266.425415,293.755798,808.019226,195.016022,330.729614,834.559448,133.629974,240.188339,806.259888,103.431381,146.544968,742.111572,112.898094,133.298111,806.483643,86.634071,62.024509,774.364624,211.880539,-133.230087,1091.364136,176.695267,-220.643738,889.294556,182.377884,-181.783493,762.938599,169.103958,-244.439987,790.686157,68.144112,-247.627380,799.788635,-37.621624,-253.683273,771.865967,-41.862877,-191.458603,786.072327,-120.407852,-206.306213,782.484253,296.552612,26.192303,1134.592163,167.622849,17.233103,1099.469727,133.292786,20.780523,952.444702
6,0,212.467834,190.762543,1090.688110,192.264114,286.427429,927.152344,266.471405,293.767273,808.027405,195.074936,330.741730,834.533569,133.654449,240.235916,806.265930,103.438454,146.573730,742.098389,112.929878,133.334915,806.461182,86.633705,62.045448,774.354797,211.860992,-133.207062,1091.347046,176.680832,-220.635773,889.285034,182.371887,-181.781662,762.954529,169.101089,-244.446320,790.680237,68.141449,-247.618408,799.775513,-37.618271,-253.673370,771.851929,-41.864758,-191.467194,786.061890,-120.409325,-206.304337,782.476624,296.467468,26.262598,1134.549316,167.608673,17.247171,1099.469727,133.308121,20.796270,952.421082
7,0,212.466415,190.786545,1090.676147,192.256607,286.383331,927.105164,266.430267,293.790192,807.976501,195.102798,330.783630,834.511414,133.692886,240.269577,806.260559,103.452400,146.592178,742.065308,112.932640,133.364395,806.437561,86.627724,62.092915,774.349854,211.841675,-133.177551,1091.331421,176.679871,-220.610687,889.259277,182.336777,-181.754120,762.934814,169.101044,-244.447006,790.671082,68.127609,-247.599701,799.758545,-37.628693,-253.645248,771.844116,-41.867390,-191.467041,786.056824,-120.407181,-206.303391,782.475281,296.616394,26.174665,1134.628662,167.584137,17.295563,1099.441284,133.297958,20.838364,952.397644
8,0,212.469421,190.802841,1090.646606,192.223251,286.357605,927.062744,266.436646,293.810333,807.925476,195.170959,330.807434,834.505737,133.699051,240.283691,806.243042,103.476379,146.613998,742.031921,112.945114,133.406342,806.408508,86.617592,62.149860,774.291260,211.816132,-133.142914,1091.307739,176.668488,-220.593292,889.225830,182.321320,-181.714279,762.879700,169.104126,-244.426804,790.649658,68.119293,-247.579300,799.734070,-37.620235,-253.632339,771.831421,-41.876255,-191.474594,786.054993,-120.424385,-206.285233,782.463684,294.831757,27.538704,1133.831421,167.551468,17.356367,1099.424561,133.280884,20.881165,952.352905
9,0,212.470840,190.815857,1090.614868,192.276947,286.417419,927.049194,266.430634,293.816803,807.893250,195.124435,330.783478,834.423462,133.734055,240.311600,806.184509,103.506355,146.620087,741.960693,112.943413,133.424911,806.337402,86.628639,62.187473,774.242676,211.806274,-133.121567,1091.266968,176.667847,-220.575073,889.190308,182.343216,-181.687103,762.844177,169.107010,-244.402054,790.602295,68.122986,-247.568008,799.703674,-37.623158,-253.611542,771.801697,-41.873058,-191.479797,786.047546,-120.424767,-206.281479,782.458984,296.307220,26.441780,1134.479736,167.543732,17.382986,1099.385620,133.279739,20.892178,952.322876
