Time,Nose X,Nose Y,Nose Z,Neck X,Neck Y,Neck Z,RShoulder X,RShoulder Y,RShoulder Z,RElbow X,RElbow Y,RElbow Z,RWrist X,RWrist Y,RWrist Z,LShoulder X,LShoulder Y,LShoulder Z,LElbow X,LElbow Y,LElbow Z,LWrist X,LWrist Y,LWrist Z,MidHip X,MidHip Y,MidHip Z,RHip X,RHip Y,RHip Z,RKnee X,RKnee Y,RKnee Z,RAnkle X,RAnkle Y,RAnkle Z,LHip X,LHip Y,LHip Z,LKnee X,LKnee Y,LKnee Z,LAnkle X,LAnkle Y,LAnkle Z,REye X,REye Y,REye Z,LEye X,LEye Y,LEye Z,REar X,REar Y,REar Z,LEar X,LEar Y,LEar Z,LBigToe X,LBigToe Y,LBigToe Z,LSmallToe X,LSmallToe Y,LSmallToe Z,LHeel X,LHeel Y,LHeel Z,RBigToe X,RBigToe Y,RBigToe Z,RSmallToe X,RSmallToe Y,RSmallToe Z,RHeel X,RHeel Y,RHeel Z
0.015963,0.238649,0.0198825,1.985,0.229663,0.182637,2.017,0.080766,0.177267,2.053,-0.00662161,0.406471,2.045,-0,-0,0,0.388622,0.187034,2.018,0.413721,0.397712,1.808,-0,-0,0,0.172087,0.44727,1.601,0.100669,0.498849,1.856,-0,-0,0,-0,-0,0,0.237543,0.413809,1.459,-0,-0,0,-0,-0,0,0.212858,-0.0138188,1.982,0.271279,-0.00971712,2.007,0.161912,-0.00122406,2.029,0.316257,0.0115467,2.022,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0
0.032763,0.238413,0.0240037,1.983,0.246941,0.182884,2.019,0.106572,0.185331,2.046,0.052213,0.403291,1.966,-5.27335,-2.89279,7.719,0.388222,0.182598,2.016,0.40902,0.389205,1.804,-5.27335,-2.89279,7.719,0.190883,0.421026,1.507,0.142852,0.502079,1.839,-5.27335,-2.89279,7.719,-5.27335,-2.89279,7.719,0.265316,0.420261,1.493,-5.27335,-2.89279,7.719,-5.27335,-2.89279,7.719,0.208725,-0.00965049,1.981,0.27011,-0.00547675,1.999,0.165008,0.00726369,2.015,0.31495,0.0114401,2.014,-5.27335,-2.89279,7.719,-5.27335,-2.89279,7.719,-5.27335,-2.89279,7.719,-5.27335,-2.89279,7.719,-5.27335,-2.89279,7.719,-5.27335,-2.89279,7.719
0.049563,0.212601,0.019708,1.978,0.217268,0.187598,2.022,0.0458496,0.190751,2.059,-0.119414,0.418418,2.04,0.0704412,0.436426,1.892,0.391511,0.190844,2.011,0.408785,0.400483,1.786,0.295773,0.413222,1.588,0.174935,0.563356,1.848,0.0749783,0.573536,1.908,-0,-0,0,-0,-0,0,0.217695,0.436129,1.411,-0,-0,0,-0,-0,0,0.184371,-0.0139467,1.992,0.247369,-0.00970684,1.986,0.149509,0.00728701,2.038,0.31617,0.011519,2.021,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0
0.066363,0.212735,0.0157608,1.979,0.217744,0.187945,2.026,0.0459384,0.19104,2.062,-0.118815,0.420635,2.03,0.062491,0.440693,1.894,0.385776,0.18994,2.002,0.407207,0.398827,1.779,0.312687,0.416948,1.642,0.168911,0.552702,1.826,0.0594505,0.575764,1.929,-4.75073,-2.6061,6.954,-4.75073,-2.6061,6.954,0.21469,0.436052,1.411,-4.75073,-2.6061,6.954,-4.75073,-2.6061,6.954,0.184443,-0.0179314,1.992,0.25231,-0.0138013,1.994,0.14925,0.00297259,2.033,0.319027,0.0115419,2.013,-4.75073,-2.6061,6.954,-4.75073,-2.6061,6.954,-4.75073,-2.6061,6.954,-4.75073,-2.6061,6.954,-4.75073,-2.6061,6.954,-4.75073,-2.6061,6.954
0.083163,0.212757,0.015798,1.979,0.217648,0.187713,2.024,0.0460208,0.186768,2.06,-0.119421,0.418658,2.041,0.0624429,0.437074,1.895,0.390833,0.190427,2.007,0.40314,0.398431,1.761,0.303081,0.411884,1.609,0.168347,0.542305,1.817,0.0670564,0.565986,1.91,-4.75073,-2.6061,6.954,-4.75073,-2.6061,6.954,0.218819,0.432215,1.418,-4.75073,-2.6061,6.954,-4.75073,-2.6061,6.954,0.184364,-0.0139586,1.992,0.252199,-0.0137719,1.993,0.149506,0.0114742,2.037,0.319325,0.0115224,2.015,-4.75073,-2.6061,6.954,-4.75073,-2.6061,6.954,-4.75073,-2.6061,6.954,-4.75073,-2.6061,6.954,-4.75073,-2.6061,6.954,-4.75073,-2.6061,6.954
0.099963,0.212567,0.0197662,1.978,0.21754,0.187692,2.023,0.045944,0.190547,2.057,-0.119565,0.418889,2.042,0.0623947,0.436098,1.891,0.390171,0.190172,2.004,0.403029,0.398567,1.761,0.304175,0.415561,1.597,0.178118,0.589273,1.881,0.0756873,0.599267,1.926,-4.75073,-2.6061,6.954,-4.75073,-2.6061,6.954,0.216799,0.443206,1.405,-4.75073,-2.6061,6.954,-4.75073,-2.6061,6.954,0.18441,-0.0137456,1.992,0.247386,-0.00955265,1.986,0.14984,0.00744829,2.04,0.315885,0.0116537,2.019,-4.75073,-2.6061,6.954,-4.75073,-2.6061,6.954,-4.75073,-2.6061,6.954,-4.75073,-2.6061,6.954,-4.75073,-2.6061,6.954,-4.75073,-2.6061,6.954
0.116763,0.21229,0.0198182,1.975,0.221543,0.187745,2.023,0.0460782,0.186912,2.062,-0.114693,0.421191,2.033,0.0702363,0.435856,1.89,0.388402,0.201707,1.994,0.40266,0.40176,1.759,0.303786,0.416461,1.613,0.177975,0.588658,1.879,0.0756108,0.598051,1.922,-0,-0,0,-0,-0,0,0.216434,0.44252,1.403,-0,-0,0,-0,-0,0,0.184335,-0.0137739,1.991,0.247252,-0.00548617,1.985,0.149173,0.00305647,2.032,0.320563,0.0115879,2.023,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0
0.133563,0.212375,0.0198351,1.976,0.217798,0.187852,2.025,0.046016,0.186834,2.061,-0.115451,0.419246,2.044,0.0624355,0.43652,1.893,0.390624,0.194451,2.006,0.402601,0.398007,1.759,0.308522,0.418219,1.62,0.18017,0.574803,1.86,0.0757548,0.586154,1.923,-0,-0,0,-0,-0,0,0.223708,0.439092,1.411,-0,-0,0,-0,-0,0,0.18446,-0.0138438,1.992,0.247517,-0.0055107,1.987,0.149008,-0.00130316,2.029,0.315962,0.011571,2.02,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0
0.150363,0.212506,0.0197489,1.977,0.221661,0.187591,2.024,0.0500317,0.185847,2.053,-0.11477,0.417213,2.034,0.0701609,0.435028,1.886,0.391146,0.190679,2.009,0.402757,0.398278,1.76,0.308114,0.417664,1.618,0.173702,0.588015,1.877,0.0642579,0.602058,1.948,-4.84228,-2.65631,7.088,-4.84228,-2.65631,7.088,0.208438,0.444472,1.409,-4.84228,-2.65631,7.088,-4.84228,-2.65631,7.088,0.184343,-0.0137603,1.991,0.247334,-0.00955523,1.986,0.148995,0.00743032,2.029,0.31978,0.0116111,2.018,-4.84228,-2.65631,7.088,-4.84228,-2.65631,7.088,-4.84228,-2.65631,7.088,-4.84228,-2.65631,7.088,-4.84228,-2.65631,7.088,-4.84228,-2.65631,7.088
0.167163,0.212364,0.0197717,1.976,0.21757,0.187613,2.023,0.0459836,0.186684,2.059,-0.115417,0.419416,2.045,0.0700011,0.433848,1.881,0.385587,0.189779,2.001,0.403537,0.39895,1.763,0.303493,0.415886,1.611,0.187578,0.594019,1.896,0.080298,0.602784,1.937,-4.30463,-2.36138,6.301,-4.30463,-2.36138,6.301,0.222368,0.442523,1.403,-4.30463,-2.36138,6.301,-4.30463,-2.36138,6.301,0.184245,-0.0137519,1.99,0.246996,-0.00549687,1.983,0.148988,0.00717527,2.029,0.31993,0.0115188,2.019,-4.30463,-2.36138,6.301,-4.30463,-2.36138,6.301,-4.30463,-2.36138,6.301,-4.30463,-2.36138,6.301,-4.30463,-2.36138,6.301,-4.30463,-2.36138,6.301
