Trajectories
100
,,ValidationHealthy001:Rdeltoid,,,ValidationHealthy001:RMidArm,,,ValidationHealthy001:RElbRadial,,,ValidationHealthy001:RElbUlna,,,ValidationHealthy001:RMidForeArm,,,ValidationHealthy001:RWrist1,,,ValidationHealthy001:RWrist2,,,ValidationHealthy001:RFingerJoint,,,ValidationHealthy001:LDeltoid,,,ValidationHealthy001:LMidArm,,,ValidationHealthy001:LElbRadial,,,ValidationHealthy001:LElbUlna,,,ValidationHealthy001:LMidForearm,,,ValidationHealthy001:Lwrist1,,,ValidationHealthy001:LWrist2,,,ValidationHealthy001:LFingerJoint,,,ValidationHealthy001:C7,,,ValidationHealthy001:Neck,,,ValidationHealthy001:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,492.949982,101.401703,1025.647705,448.595459,225.981628,874.926392,,,,433.334747,283.805206,782.279846,375.047272,171.906799,772.991150,345.239349,73.236938,740.429077,391.296356,59.742844,791.342468,361.220917,-24.032373,796.877808,538.229126,-158.876190,1035.005127,499.004395,-281.542175,888.206665,481.976257,-287.881958,740.290344,469.281891,-339.604156,794.014343,355.126068,-331.685974,794.809143,244.678482,-342.899536,747.639954,247.318451,-272.820801,762.660645,170.724167,-284.803711,768.445923,578.688782,-17.935574,1071.052002,462.343628,-42.566105,1038.461426,421.748932,-41.261497,934.457397
2,0,492.960449,101.342201,1025.675049,448.480164,225.917709,874.983459,,,,433.237244,283.804138,782.365234,374.976227,171.886093,773.092468,345.197388,73.245102,740.486694,391.248749,59.747776,791.391174,361.220398,-24.063643,796.897217,538.253418,-158.903442,1035.004272,499.001190,-281.552734,888.208069,481.976105,-287.881470,740.298157,469.280884,-339.617310,794.012573,355.138184,-331.694977,794.811279,244.682938,-342.904510,747.644348,247.320618,-272.814880,762.668152,170.726227,-284.803375,768.457275,578.682434,-17.970652,1071.061523,462.359619,-42.597790,1038.460938,421.764221,-41.288433,934.476685
3,0,492.952209,101.295944,1025.699951,449.580994,223.036499,874.377075,,,,433.127747,283.812317,782.466370,374.919952,171.868164,773.179688,345.131165,73.230888,740.544800,391.234497,59.712799,791.422607,361.211487,-24.089323,796.897095,538.275024,-158.927429,1035.004517,499.011414,-281.567871,888.208679,481.991638,-287.910187,740.323853,469.285400,-339.621490,794.013428,355.142944,-331.697968,794.816040,244.683304,-342.904053,747.648376,247.336288,-272.816467,762.666382,170.748810,-284.805115,768.463135,578.690552,-18.004242,1071.069336,462.369263,-42.647610,1038.471924,421.762756,-41.309345,934.488647
4,0,492.921692,101.263245,1025.699707,449.504608,223.015396,874.445801,,,,433.010132,283.805817,782.549438,374.850250,171.856674,773.261047,345.102570,73.207397,740.567078,391.210785,59.707481,791.451782,361.203003,-24.108397,796.898926,538.308655,-158.949829,1035.003418,499.020660,-281.580597,888.205017,481.963379,-287.879974,740.313782,469.288422,-339.631653,794.018616,355.145477,-331.691589,794.808533,244.676544,-342.902313,747.648071,247.332016,-272.817871,762.659302,170.743866,-284.798615,768.450378,578.688599,-18.034069,1071.064575,462.377441,-42.683266,1038.463623,421.763824,-41.356483,934.502014
5,0,492.913116,101.222443,1025.711060,449.372406,223.028748,874.522644,,,,432.929565,283.792175,782.645447,374.782166,171.835144,773.302734,345.064880,73.162689,740.592712,391.168579,59.709686,791.483093,361.192749,-24.131697,796.893860,538.341980,-158.954727,1034.988037,499.028290,-281.573151,888.178223,481.985260,-287.890411,740.294739,469.277374,-339.645508,794.011780,355.139191,-331.689972,794.799561,244.687759,-342.908142,747.648621,247.336838,-272.813141,762.657593,170.747147,-284.801697,768.450439,578.678772,-18.024740,1071.080444,462.392822,-42.722118,1038.456787,421.760193,-41.365631,934.506653
6,0,492.907349,101.184830,1025.739014,449.291412,223.086945,874.584961,,,,432.844971,283.766327,782.713196,374.749054,171.797043,773.339661,345.050140,73.159660,740.594238,391.152100,59.675087,791.502808,361.189941,-24.161177,796.892212,538.361755,-158.962036,1034.972046,499.047333,-281.583191,888.172607,482.000214,-287.918335,740.289795,469.277679,-339.652679,794.014771,355.136902,-331.706390,794.798340,244.688461,-342.903809,747.642700,247.333847,-272.823212,762.675842,170.742996,-284.804535,768.454041,578.669434,-18.029707,1071.088745,462.417023,-42.780697,1038.454956,421.753967,-41.378719,934.524475
7,0,492.901703,101.159660,1025.755005,449.258636,223.060852,874.649048,,,,432.801392,283.740356,782.789673,374.680786,171.800537,773.368347,345.064117,73.115227,740.610779,391.124786,59.666824,791.531433,361.192749,-24.160944,796.889587,538.382141,-158.992722,1034.976440,499.068268,-281.598816,888.165039,482.016144,-287.932617,740.315063,469.277283,-339.674774,794.011230,355.136383,-331.719879,794.792297,244.678650,-342.897797,747.631226,247.352615,-272.830811,762.664063,170.735352,-284.813507,768.468140,578.662659,-18.045328,1071.114380,462.437195,-42.836845,1038.466309,421.760620,-41.405003,934.521790
8,0,492.873352,101.124527,1025.781738,449.252319,223.050278,874.716309,,,,432.762543,283.747070,782.869080,374.623596,171.782516,773.393311,345.066864,73.106827,740.631531,391.113922,59.646793,791.561096,361.202484,-24.179911,796.885864,538.398499,-159.005478,1034.988770,499.088837,-281.620087,888.161255,482.002960,-287.925659,740.337708,469.275818,-339.694794,794.014832,355.138885,-331.736786,794.804932,244.669937,-342.903687,747.635864,247.375275,-272.843689,762.694275,170.732574,-284.812042,768.479858,578.649414,-18.050375,1071.127197,462.444519,-42.871632,1038.470947,421.751770,-41.430809,934.536865
9,0,492.865936,101.091438,1025.783691,449.259979,223.030823,874.766174,,,,432.733856,283.757294,782.925293,374.594421,171.763367,773.401123,345.060547,73.102654,740.636353,391.112213,59.627113,791.573608,361.215729,-24.197483,796.877747,538.413330,-159.026154,1034.984497,499.112396,-281.631439,888.144470,481.955872,-287.895081,740.351685,469.274109,-339.716248,794.005859,355.126221,-331.746765,794.795898,244.678925,-342.900879,747.638855,247.381531,-272.833313,762.712952,170.733658,-284.819336,768.488037,578.633911,-18.056614,1071.140381,462.469849,-42.899349,1038.468872,421.747742,-41.451630,934.533936
